variable,quarter,test_date,p_gdp,K_ind,horizon,y_true,y_hat
DA_AUTO_SALES_US,2016Q3,2016-09-30,0,4,0,-1.9593475375963,-11.2754731707963
DA_AUTO_SALES_US,2017Q1,2017-03-31,0,4,0,3.93802673220733,-4.48322926311997
DA_AUTO_SALES_US,2017Q2,2017-06-30,0,4,0,3.17587049714518,1.6490840463175
DA_AUTO_SALES_US,2021Q4,2021-12-31,0,4,0,4.68597562707878,0.854055071840081
DA_AUTO_SALES_US,2022Q3,2022-09-30,0,4,0,3.87298394427411,3.06225402755955
DA_AUTO_SALES_US,2023Q1,2023-03-31,0,4,0,5.31034874051777,8.09385455191594
DA_AUTO_SALES_US,2023Q2,2023-06-30,0,4,0,3.3567849988966,5.86448976441171
DA_BGS,2016Q3,2016-09-30,0,4,0,-1.9593475375963,-2.0318450370487
DA_BGS,2017Q1,2017-03-31,0,4,0,3.93802673220733,-0.510292388059855
DA_BGS,2017Q2,2017-06-30,0,4,0,3.17587049714518,3.49547817252895
DA_BGS,2021Q4,2021-12-31,0,4,0,4.68597562707878,3.28547728565839
DA_BGS,2022Q3,2022-09-30,0,4,0,3.87298394427411,0.256713361244875
DA_BGS,2023Q1,2023-03-31,0,4,0,5.31034874051777,13.2808170746706
DA_BGS,2023Q2,2023-06-30,0,4,0,3.3567849988966,12.9724558688651
DA_CAP_UTILI_US,2016Q3,2016-09-30,0,4,0,-1.9593475375963,-3.66191951476675
DA_CAP_UTILI_US,2017Q1,2017-03-31,0,4,0,3.93802673220733,2.55381274389074
DA_CAP_UTILI_US,2017Q2,2017-06-30,0,4,0,3.17587049714518,0.564726037361739
DA_CAP_UTILI_US,2021Q4,2021-12-31,0,4,0,4.68597562707878,5.14118000713186
DA_CAP_UTILI_US,2022Q3,2022-09-30,0,4,0,3.87298394427411,-0.12198697435412
DA_CAP_UTILI_US,2023Q1,2023-03-31,0,4,0,5.31034874051777,-1.22023301870602
DA_CAP_UTILI_US,2023Q2,2023-06-30,0,4,0,3.3567849988966,-1.45357899668938
DA_CONS_CONF_US,2016Q3,2016-09-30,0,4,0,-1.9593475375963,-8.42678908387857
DA_CONS_CONF_US,2017Q1,2017-03-31,0,4,0,3.93802673220733,-3.60210466873734
DA_CONS_CONF_US,2017Q2,2017-06-30,0,4,0,3.17587049714518,-4.47266208556658
DA_CONS_CONF_US,2021Q4,2021-12-31,0,4,0,4.68597562707878,-7.79060266622959
DA_CONS_CONF_US,2022Q3,2022-09-30,0,4,0,3.87298394427411,0.708806655295115
DA_CONS_CONF_US,2023Q1,2023-03-31,0,4,0,5.31034874051777,6.81245686462406
DA_CONS_CONF_US,2023Q2,2023-06-30,0,4,0,3.3567849988966,5.22804300550924
DA_CONS_SENTI_US,2016Q3,2016-09-30,0,4,0,-1.9593475375963,-7.19476750835165
DA_CONS_SENTI_US,2017Q1,2017-03-31,0,4,0,3.93802673220733,-5.6582085800407
DA_CONS_SENTI_US,2017Q2,2017-06-30,0,4,0,3.17587049714518,-3.59738900810356
DA_CONS_SENTI_US,2021Q4,2021-12-31,0,4,0,4.68597562707878,1.79140305846154
DA_CONS_SENTI_US,2022Q3,2022-09-30,0,4,0,3.87298394427411,-12.9159381168619
DA_CONS_SENTI_US,2023Q1,2023-03-31,0,4,0,5.31034874051777,10.0460029242217
DA_CONS_SENTI_US,2023Q2,2023-06-30,0,4,0,3.3567849988966,-2.56762401233852
DA_CPI_US,2016Q3,2016-09-30,0,3,0,-1.9593475375963,-4.22057086475896
DA_CPI_US,2017Q1,2017-03-31,0,3,0,3.93802673220733,-3.58490180631547
DA_CPI_US,2017Q2,2017-06-30,0,3,0,3.17587049714518,-3.45094845710331
DA_CPI_US,2021Q4,2021-12-31,0,3,0,4.68597562707878,20.7713435578774
DA_CPI_US,2022Q3,2022-09-30,0,3,0,3.87298394427411,-5.58926712215312
DA_CPI_US,2023Q1,2023-03-31,0,3,0,5.31034874051777,6.50611364835986
DA_CPI_US,2023Q2,2023-06-30,0,3,0,3.3567849988966,2.80015186876914
DA_Credit,2016Q3,2016-09-30,0,4,0,-1.9593475375963,0.56514767872976
DA_Credit,2017Q1,2017-03-31,0,4,0,3.93802673220733,0.109011341731032
DA_Credit,2017Q2,2017-06-30,0,4,0,3.17587049714518,-4.38778404742298
DA_Credit,2021Q4,2021-12-31,0,4,0,4.68597562707878,-0.0537416928650658
DA_Credit,2022Q3,2022-09-30,0,4,0,3.87298394427411,-3.55051899358139
DA_Credit,2023Q1,2023-03-31,0,4,0,5.31034874051777,0.253837182681345
DA_Credit,2023Q2,2023-06-30,0,4,0,3.3567849988966,-0.175216898354041
DA_EMPLOY_NONFARM_US,2016Q3,2016-09-30,0,4,0,-1.9593475375963,4.63046458299502
DA_EMPLOY_NONFARM_US,2017Q1,2017-03-31,0,4,0,3.93802673220733,-4.81025661197485
DA_EMPLOY_NONFARM_US,2017Q2,2017-06-30,0,4,0,3.17587049714518,-5.76957132105337
DA_EMPLOY_NONFARM_US,2021Q4,2021-12-31,0,4,0,4.68597562707878,1.50703644209744
DA_EMPLOY_NONFARM_US,2022Q3,2022-09-30,0,4,0,3.87298394427411,2.11203069829547
DA_EMPLOY_NONFARM_US,2023Q1,2023-03-31,0,4,0,5.31034874051777,-0.514208280001795
DA_EMPLOY_NONFARM_US,2023Q2,2023-06-30,0,4,0,3.3567849988966,-0.385294028026686
DA_Fx,2016Q3,2016-09-30,0,4,0,-1.9593475375963,3.97677708805614
DA_Fx,2017Q1,2017-03-31,0,4,0,3.93802673220733,-1.75128550268004
DA_Fx,2017Q2,2017-06-30,0,4,0,3.17587049714518,-3.02048260595225
DA_Fx,2021Q4,2021-12-31,0,4,0,4.68597562707878,0.552141526863302
DA_Fx,2022Q3,2022-09-30,0,4,0,3.87298394427411,3.09576276925948
DA_Fx,2023Q1,2023-03-31,0,4,0,5.31034874051777,4.17217772314761
DA_Fx,2023Q2,2023-06-30,0,4,0,3.3567849988966,2.02971728477979
DA_HOUSING_STARTS_US,2016Q3,2016-09-30,0,4,0,-1.9593475375963,-8.76728243868849
DA_HOUSING_STARTS_US,2017Q1,2017-03-31,0,4,0,3.93802673220733,-6.61380204929394
DA_HOUSING_STARTS_US,2017Q2,2017-06-30,0,4,0,3.17587049714518,-1.45631442206565
DA_HOUSING_STARTS_US,2021Q4,2021-12-31,0,4,0,4.68597562707878,1.02933710863619
DA_HOUSING_STARTS_US,2022Q3,2022-09-30,0,4,0,3.87298394427411,-5.36690529735689
DA_HOUSING_STARTS_US,2023Q1,2023-03-31,0,4,0,5.31034874051777,-0.126747191780842
DA_HOUSING_STARTS_US,2023Q2,2023-06-30,0,4,0,3.3567849988966,2.69053292424998
DA_HVT,2016Q3,2016-09-30,0,4,0,-1.9593475375963,5.98998578956197
DA_HVT,2017Q1,2017-03-31,0,4,0,3.93802673220733,-2.09798969044937
DA_HVT,2017Q2,2017-06-30,0,4,0,3.17587049714518,-7.4434313017812
DA_HVT,2021Q4,2021-12-31,0,4,0,4.68597562707878,6.78707107566977
DA_HVT,2022Q3,2022-09-30,0,4,0,3.87298394427411,0.104943041441548
DA_HVT,2023Q1,2023-03-31,0,4,0,5.31034874051777,6.46090336052564
DA_HVT,2023Q2,2023-06-30,0,4,0,3.3567849988966,-1.61550338230962
DA_IC_Br,2016Q3,2016-09-30,0,4,0,-1.9593475375963,0.922436031966548
DA_IC_Br,2017Q1,2017-03-31,0,4,0,3.93802673220733,-2.6214318475067
DA_IC_Br,2017Q2,2017-06-30,0,4,0,3.17587049714518,-1.75826009730096
DA_IC_Br,2021Q4,2021-12-31,0,4,0,4.68597562707878,13.8791564237096
DA_IC_Br,2022Q3,2022-09-30,0,4,0,3.87298394427411,-1.75748953145777
DA_IC_Br,2023Q1,2023-03-31,0,4,0,5.31034874051777,-0.40152670954517
DA_IC_Br,2023Q2,2023-06-30,0,4,0,3.3567849988966,6.60430188954742
DA_IE_S,2016Q3,2016-09-30,0,4,0,-1.9593475375963,3.92007088629204
DA_IE_S,2017Q1,2017-03-31,0,4,0,3.93802673220733,-4.84543099567598
DA_IE_S,2017Q2,2017-06-30,0,4,0,3.17587049714518,-1.14329809868802
DA_IE_S,2021Q4,2021-12-31,0,4,0,4.68597562707878,0.270227723011096
DA_IE_S,2022Q3,2022-09-30,0,4,0,3.87298394427411,1.46843919554972
DA_IE_S,2023Q1,2023-03-31,0,4,0,5.31034874051777,0.379094088845191
DA_IE_S,2023Q2,2023-06-30,0,4,0,3.3567849988966,3.73604177374823
DA_IE_S_alt,2016Q3,2016-09-30,0,4,0,-1.9593475375963,4.63862657336663
DA_IE_S_alt,2017Q1,2017-03-31,0,4,0,3.93802673220733,-7.39017159636982
DA_IE_S_alt,2017Q2,2017-06-30,0,4,0,3.17587049714518,-3.39015893594949
DA_IE_S_alt,2021Q4,2021-12-31,0,4,0,4.68597562707878,-1.46959034053917
DA_IE_S_alt,2022Q3,2022-09-30,0,4,0,3.87298394427411,1.59821771524466
DA_IE_S_alt,2023Q1,2023-03-31,0,4,0,5.31034874051777,0.17663178346731
DA_IE_S_alt,2023Q2,2023-06-30,0,4,0,3.3567849988966,2.62050905968609
DA_INCC_DI,2016Q3,2016-09-30,0,4,0,-1.9593475375963,-2.66434009175971
DA_INCC_DI,2017Q1,2017-03-31,0,4,0,3.93802673220733,-7.31957888775685
DA_INCC_DI,2017Q2,2017-06-30,0,4,0,3.17587049714518,-2.84096137577536
DA_INCC_DI,2021Q4,2021-12-31,0,4,0,4.68597562707878,5.22983681009118
DA_INCC_DI,2022Q3,2022-09-30,0,4,0,3.87298394427411,2.1982775847268
DA_INCC_DI,2023Q1,2023-03-31,0,4,0,5.31034874051777,1.15415706326065
DA_INCC_DI,2023Q2,2023-06-30,0,4,0,3.3567849988966,-5.58593076435031
DA_INDF,2017Q1,2017-03-31,0,6,0,3.93802673220733,2.1084958537971
DA_INDF,2017Q2,2017-06-30,0,6,0,3.17587049714518,7.56424281031597
DA_INDF,2021Q4,2021-12-31,0,6,0,4.68597562707878,0.439170384622329
DA_INDF,2022Q3,2022-09-30,0,6,0,3.87298394427411,-0.800826125616267
DA_INDF,2023Q1,2023-03-31,0,6,0,5.31034874051777,-2.03298993307917
DA_INDF,2023Q2,2023-06-30,0,6,0,3.3567849988966,2.39345198689585
DA_INDFE,2016Q3,2016-09-30,0,3,0,-1.9593475375963,-10.8663588096801
DA_INDFE,2017Q1,2017-03-31,0,3,0,3.93802673220733,2.1022802687317
DA_INDFE,2017Q2,2017-06-30,0,3,0,3.17587049714518,0.641680551125031
DA_INDFE,2021Q4,2021-12-31,0,3,0,4.68597562707878,0.0960041571204739
DA_INDFE,2022Q3,2022-09-30,0,3,0,3.87298394427411,1.58813663097761
DA_INDFE,2023Q1,2023-03-31,0,3,0,5.31034874051777,1.88917904195758
DA_INDFE,2023Q2,2023-06-30,0,3,0,3.3567849988966,-2.90731381153004
DA_IP,2016Q3,2016-09-30,0,4,0,-1.9593475375963,-6.12479392169988
DA_IP,2017Q1,2017-03-31,0,4,0,3.93802673220733,4.71137021300723
DA_IP,2017Q2,2017-06-30,0,4,0,3.17587049714518,-2.01713245243888
DA_IP,2021Q4,2021-12-31,0,4,0,4.68597562707878,0.577200599700477
DA_IP,2022Q3,2022-09-30,0,4,0,3.87298394427411,0.364196044495734
DA_IP,2023Q1,2023-03-31,0,4,0,5.31034874051777,1.49331772294251
DA_IP,2023Q2,2023-06-30,0,4,0,3.3567849988966,1.14612283418356
DA_IP_US,2016Q3,2016-09-30,0,4,0,-1.9593475375963,-3.64918178901244
DA_IP_US,2017Q1,2017-03-31,0,4,0,3.93802673220733,2.2734683213238
DA_IP_US,2017Q2,2017-06-30,0,4,0,3.17587049714518,0.391581242938575
DA_IP_US,2021Q4,2021-12-31,0,4,0,4.68597562707878,4.3648703907549
DA_IP_US,2022Q3,2022-09-30,0,4,0,3.87298394427411,1.56236867204921
DA_IP_US,2023Q1,2023-03-31,0,4,0,5.31034874051777,0.88066854614562
DA_IP_US,2023Q2,2023-06-30,0,4,0,3.3567849988966,0.0164570701617852
DA_IPCA,2016Q3,2016-09-30,0,3,0,-1.9593475375963,-3.71790486226401
DA_IPCA,2017Q1,2017-03-31,0,3,0,3.93802673220733,-4.09561128924087
DA_IPCA,2017Q2,2017-06-30,0,3,0,3.17587049714518,-1.35579028714216
DA_IPCA,2021Q4,2021-12-31,0,3,0,4.68597562707878,-0.259626029914814
DA_IPCA,2022Q3,2022-09-30,0,3,0,3.87298394427411,-0.712123997691546
DA_IPCA,2023Q1,2023-03-31,0,3,0,5.31034874051777,0.0698096911896062
DA_IPCA,2023Q2,2023-06-30,0,3,0,3.3567849988966,-1.19853448967672
DA_IPCA_EX0,2017Q1,2017-03-31,1,4,0,3.93802673220733,-11.7578834780748
DA_IPCA_EX0,2017Q2,2017-06-30,1,4,0,3.17587049714518,-10.7640965549106
DA_IPCA_EX1,2016Q3,2016-09-30,0,3,0,-1.9593475375963,-6.48051447518119
DA_IPCA_EX1,2017Q1,2017-03-31,0,3,0,3.93802673220733,-1.25078045553639
DA_IPCA_EX1,2017Q2,2017-06-30,0,3,0,3.17587049714518,17.952138610384
DA_IPCA_EX1,2021Q4,2021-12-31,0,3,0,4.68597562707878,-1.89563124136663
DA_IPCA_EX1,2022Q3,2022-09-30,0,3,0,3.87298394427411,-2.59642244728027
DA_IPCA_EX1,2023Q1,2023-03-31,0,3,0,5.31034874051777,-1.01843397148836
DA_IPCA_EX1,2023Q2,2023-06-30,0,3,0,3.3567849988966,1.18275555977326
DA_IPCA_EX2,2017Q2,2017-06-30,2,3,0,3.17587049714518,89.6238275009613
DA_IPCA_MA,2016Q3,2016-09-30,0,4,0,-1.9593475375963,-3.08735536197056
DA_IPCA_MA,2017Q1,2017-03-31,0,4,0,3.93802673220733,-7.74389094197308
DA_IPCA_MA,2017Q2,2017-06-30,0,4,0,3.17587049714518,-0.900384283967479
DA_IPCA_MA,2021Q4,2021-12-31,0,4,0,4.68597562707878,1.18350856807908
DA_IPCA_MA,2022Q3,2022-09-30,0,4,0,3.87298394427411,-4.36244922938309
DA_IPCA_MA,2023Q1,2023-03-31,0,4,0,5.31034874051777,2.06924724690619
DA_IPCA_MA,2023Q2,2023-06-30,0,4,0,3.3567849988966,5.93457042203097
DA_IPCA_MS,2017Q2,2017-06-30,0,7,0,3.17587049714518,-5.4329107543021
DA_IPCDG,2016Q3,2016-09-30,0,4,0,-1.9593475375963,-3.630040669346
DA_IPCDG,2017Q1,2017-03-31,0,4,0,3.93802673220733,-4.08306034502703
DA_IPCDG,2017Q2,2017-06-30,0,4,0,3.17587049714518,0.231790768058857
DA_IPCDG,2021Q4,2021-12-31,0,4,0,4.68597562707878,3.71829934552064
DA_IPCDG,2022Q3,2022-09-30,0,4,0,3.87298394427411,1.23586222028245
DA_IPCDG,2023Q1,2023-03-31,0,4,0,5.31034874051777,0.892407625813472
DA_IPCDG,2023Q2,2023-06-30,0,4,0,3.3567849988966,-0.24395993784049
DA_IPCG,2016Q3,2016-09-30,0,4,0,-1.9593475375963,-14.8026717005004
DA_IPCG,2017Q1,2017-03-31,0,4,0,3.93802673220733,2.54100626508448
DA_IPCG,2017Q2,2017-06-30,0,4,0,3.17587049714518,-4.90559161136115
DA_IPCG,2021Q4,2021-12-31,0,4,0,4.68597562707878,2.26503049697174
DA_IPCG,2022Q3,2022-09-30,0,4,0,3.87298394427411,1.1955785817946
DA_IPCG,2023Q1,2023-03-31,0,4,0,5.31034874051777,1.85538663060018
DA_IPCG,2023Q2,2023-06-30,0,4,0,3.3567849988966,1.71846768136196
DA_IPCI,2016Q3,2016-09-30,0,3,0,-1.9593475375963,0.635021956814748
DA_IPCI,2017Q1,2017-03-31,0,3,0,3.93802673220733,2.06290007027246
DA_IPCI,2017Q2,2017-06-30,0,3,0,3.17587049714518,-0.055714022206294
DA_IPCI,2021Q4,2021-12-31,0,3,0,4.68597562707878,-3.94432361441394
DA_IPCI,2022Q3,2022-09-30,0,3,0,3.87298394427411,3.60724272351865
DA_IPCI,2023Q1,2023-03-31,0,3,0,5.31034874051777,1.7143416102603
DA_IPCI,2023Q2,2023-06-30,0,3,0,3.3567849988966,2.53101392730188
DA_IPCIG,2016Q3,2016-09-30,0,4,0,-1.9593475375963,-4.90421093086111
DA_IPCIG,2017Q1,2017-03-31,0,4,0,3.93802673220733,3.03361046107138
DA_IPCIG,2017Q2,2017-06-30,0,4,0,3.17587049714518,-4.53921952686359
DA_IPCIG,2021Q4,2021-12-31,0,4,0,4.68597562707878,-2.25410550590119
DA_IPCIG,2022Q3,2022-09-30,0,4,0,3.87298394427411,-2.17086251049748
DA_IPCIG,2023Q1,2023-03-31,0,4,0,5.31034874051777,3.43557372229273
DA_IPCIG,2023Q2,2023-06-30,0,4,0,3.3567849988966,1.10316855342022
DA_IPKG,2016Q3,2016-09-30,0,4,0,-1.9593475375963,-4.82781905385217
DA_IPKG,2017Q1,2017-03-31,0,4,0,3.93802673220733,-0.119301853512675
DA_IPKG,2017Q2,2017-06-30,0,4,0,3.17587049714518,-1.79743433830987
DA_IPKG,2021Q4,2021-12-31,0,4,0,4.68597562707878,1.4414234283618
DA_IPKG,2022Q3,2022-09-30,0,4,0,3.87298394427411,-1.81957498022825
DA_IPKG,2023Q1,2023-03-31,0,4,0,5.31034874051777,-3.30022693192417
DA_IPKG,2023Q2,2023-06-30,0,4,0,3.3567849988966,-2.64210543085839
DA_IPME,2016Q3,2016-09-30,0,3,0,-1.9593475375963,-4.71416443064955
DA_IPME,2017Q1,2017-03-31,0,3,0,3.93802673220733,-2.7767801517244
DA_IPME,2017Q2,2017-06-30,0,3,0,3.17587049714518,-3.41939101838569
DA_IPME,2021Q4,2021-12-31,0,3,0,4.68597562707878,0.94882132810369
DA_IPME,2022Q3,2022-09-30,0,3,0,3.87298394427411,-7.42904392255544
DA_IPME,2023Q1,2023-03-31,0,3,0,5.31034874051777,8.7979689478734
DA_IPME,2023Q2,2023-06-30,0,3,0,3.3567849988966,-2.77162039108329
DA_IPMI,2017Q1,2017-03-31,0,6,0,3.93802673220733,12.889312589735
DA_IPMI,2017Q2,2017-06-30,0,6,0,3.17587049714518,16.218659881633
DA_IPMI,2021Q4,2021-12-31,0,6,0,4.68597562707878,0.410006466904472
